cluster_id,latitude,longitude,h3
22,42.3025688889,-83.7041958333,8c2ab2590acc5ff
40,42.3160644444,-83.7342452778,8c2ab25962819ff
143,42.2876838889,-83.7331980556,8c2ab25934669ff
104,42.2421827778,-83.76735138890001,8c274996ba121ff
8,42.3048925,-83.6927327778,8c2ab25956153ff
18,42.3093633333,-83.6774586111,8c2ab2595a86bff
18,42.309595,-83.6773891667,8c2ab2595a869ff
144,42.2865377778,-83.73249277779999,8c2ab259346ebff
143,42.2875811111,-83.73316583329999,8c2ab2593466bff
143,42.2875952778,-83.7333133333,8c2ab25934661ff
84,42.2980786111,-83.7320058333,8c2ab2593d849ff
28,42.2454469444,-83.6804163889,8c2ab259822a3ff
135,42.2493933333,-83.7215122222,8c2ab259a0913ff
47,42.2550036111,-83.6862783333,8c2ab25980347ff
173,42.2721438889,-83.7416419444,8c274996dcc0dff
16,42.2302455556,-83.6994141667,8c2ab259b0d31ff
47,42.2550716667,-83.6864319444,8c2ab2598036bff
57,42.2883333333,-83.6826122222,8c2ab2591a089ff
173,42.2708394444,-83.7404141667,8c274996dccd7ff
50,42.2903752778,-83.7186094444,8c2ab25938ea7ff
1,42.2306075,-83.6800327778,8c2ab259ba659ff
16,42.2303019444,-83.6997633333,8c2ab259b0d35ff
171,42.26948,-83.73910749999999,8c274996d182bff
1,42.2308472222,-83.6801808333,8c2ab259bb4b5ff
28,42.2452658333,-83.6802391667,8c2ab259822b5ff
1,42.2307158333,-83.6798263889,8c2ab259bb4b3ff
173,42.2708277778,-83.7409922222,8c274996dcc81ff
1,42.2307652778,-83.6795691667,8c2ab2599696dff
1,42.2305969444,-83.68024388890001,8c2ab259ba65dff
173,42.271925,-83.74150999999999,8c274996dcc01ff
1,42.2308483333,-83.6799775,8c2ab259bb4b1ff
190,42.2741938889,-83.74331,8c274996dcaadff
15,42.3076969444,-83.68304861109999,8c2ab259505abff
29,42.2529,-83.6741980556,8c2ab2598a31bff
1,42.2304977778,-83.68005,8c2ab259ba651ff
16,42.2304038889,-83.6995161111,8c2ab259b0d3dff
1,42.2306294444,-83.6801397222,8c2ab259ba65dff
1,42.2310127778,-83.6799594444,8c2ab259bb4bdff
77,42.2300738889,-83.7135702778,8c2ab24b4b0a7ff
28,42.2454894444,-83.6803375,8c2ab259822a3ff
29,42.252805,-83.6744333333,8c2ab2598a317ff
124,42.2448758333,-83.7149347222,8c2ab259a382bff
82,42.2435486111,-83.7492197222,8c27499690de9ff
189,42.2799883333,-83.7409775,8c274996ca41dff
28,42.245585,-83.6803661111,8c2ab259822a1ff
1,42.2306125,-83.6798425,8c2ab25996965ff
189,42.2809558333,-83.7408325,8c274996ca621ff
11,42.274512777800005,-83.6742386111,8c2ab259c023dff
216,42.2815041667,-83.7487877778,8c274996ca837ff
46,42.2454986111,-83.6938341667,8c2ab25986e63ff
1,42.2307408333,-83.67984,8c2ab259bb4b3ff
130,42.2318205556,-83.739305,8c2ab24b44143ff
151,42.25674,-83.7265294444,8c274996d26d3ff
28,42.2456458333,-83.6803472222,8c2ab259822a1ff
61,42.2494588889,-83.7004,8c2ab259ab463ff
47,42.2552252778,-83.6877619444,8c2ab259818c7ff
29,42.2525019444,-83.6742019444,8c2ab2598a06bff
173,42.2718516667,-83.7417955556,8c274996dcc2bff
43,42.2565252778,-83.69584805560001,8c2ab2598424dff
171,42.2693980556,-83.7395816667,8c274996d1825ff
130,42.23178,-83.7393108333,8c2ab24b44155ff
29,42.2528736111,-83.6742491667,8c2ab2598a311ff
36,42.2579558333,-83.7004833333,8c2ab2598586dff
151,42.2568408333,-83.72686,8c274996d26d5ff
190,42.2744166667,-83.744485,8c274996dc80dff
40,42.3159052778,-83.7342266667,8c2ab2596281bff
7,42.2775583333,-83.6987497222,8c2ab259e8339ff
7,42.2776813889,-83.6990161111,8c2ab259e833dff
90,42.2619972222,-83.7063738889,8c2ab259e29c9ff
90,42.2619808333,-83.70654499999999,8c2ab259e29cdff
90,42.2622336111,-83.7042558333,8c2ab259e2ae3ff
7,42.2777938889,-83.69907361109999,8c2ab259e832bff
9,42.2842238889,-83.7014111111,8c2ab259162a5ff
48,42.2560394444,-83.69233388890001,8c2ab25985449ff
131,42.2641544444,-83.7503147222,8c274996d4db7ff
9,42.2842941667,-83.70174111109999,8c2ab25916019ff
48,42.2557772222,-83.6906891667,8c2ab259856cbff
22,42.3025577778,-83.7042475,8c2ab2590acc5ff
189,42.281115,-83.7408022222,8c274996ca629ff
8,42.3047986111,-83.69273944439999,8c2ab25956153ff
131,42.2641425,-83.7502252778,8c274996d4db7ff
90,42.262325,-83.704415,8c2ab259e2ae3ff
120,42.2594683333,-83.7112494444,8c2ab259a984dff
121,42.2592202778,-83.7092516667,8c2ab259a9135ff
95,42.2510283333,-83.75705694439999,8c27499695027ff
94,42.2469947222,-83.7614566667,8c274996948c7ff
90,42.2623227778,-83.70633361109999,8c2ab259e282dff
4,42.2957797222,-83.70499194439999,8c2ab2591531bff
4,42.2951883333,-83.70534027779999,8c2ab25915029ff
130,42.2320611111,-83.7392402778,8c2ab24b4414bff
9,42.2842755556,-83.7020422222,8c2ab2591601dff
131,42.264005,-83.7502288889,8c2749968b759ff
7,42.2777658333,-83.6990161111,8c2ab259e832bff
4,42.295353611100005,-83.7049772222,8c2ab25915047ff
90,42.2619525,-83.70612249999999,8c2ab259e2835ff
169,42.2606297222,-83.7296983333,8c274996d30b3ff
43,42.256665000000005,-83.6957511111,8c2ab259850a7ff
81,42.2462336111,-83.7494297222,8c27499690aa9ff
43,42.2567027778,-83.6956308333,8c2ab259850a3ff
90,42.2620738889,-83.7064719444,8c2ab259e2827ff
7,42.2777233333,-83.6986919444,8c2ab259e8303ff
43,42.2566852778,-83.6957741667,8c2ab259850a7ff
131,42.2640608333,-83.7499902778,8c2749968b665ff
131,42.2641316667,-83.7502216667,8c274996d4db7ff
7,42.277515,-83.6989525,8c2ab259e8331ff
9,42.2846158333,-83.70140027779999,8c2ab259162e5ff
9,42.2844783333,-83.7014608333,8c2ab2591605bff
9,42.2844597222,-83.7012744444,8c2ab259162e7ff
90,42.2619030556,-83.70633194439999,8c2ab259e29c9ff
43,42.256745,-83.69582750000001,8c2ab259850a7ff
120,42.2593686111,-83.7114091667,8c2ab259a9845ff
8,42.3049466667,-83.6927525,8c2ab25956151ff
13,42.312885,-83.6804144444,8c2ab25951743ff
60,42.2881983333,-83.6922052778,8c2ab25910407ff
161,42.2770658333,-83.7634036111,8c274996c6037ff
144,42.2865997222,-83.7325716667,8c2ab259346e9ff
212,42.2814183333,-83.7494316667,8c274996ca9c7ff
175,42.2811966667,-83.73569805560001,8c2ab25936a15ff
144,42.2865386111,-83.73267,8c2ab259346e1ff
95,42.2507675,-83.7569955556,8c274996951c9ff
49,42.2874275,-83.7189269444,8c2ab2593169dff
217,42.2815586111,-83.74727444439999,8c274996caabdff
189,42.2814486111,-83.7409961111,8c274996ca665ff
94,42.2478541667,-83.7606933333,8c27499694aebff
49,42.2875480556,-83.7190658333,8c2ab2593168bff
144,42.2863388889,-83.7323208333,8c2ab25934689ff
49,42.2873033333,-83.7192816667,8c2ab25931695ff
78,42.2299011111,-83.7260316667,8c2ab24b40057ff
174,42.2725583333,-83.7497869444,8c274996c25bbff
198,42.2778491667,-83.74337416670001,8c274996ddb3bff
49,42.2873230556,-83.7190602778,8c2ab25931695ff
49,42.2876244444,-83.7190702778,8c2ab2593168bff
144,42.2867280556,-83.7323116667,8c2ab259346cdff
174,42.2728069444,-83.7495844444,8c274996c2583ff
173,42.2720366667,-83.7394155556,8c274996dcecbff
198,42.2778425,-83.7441647222,8c274996dd941ff
205,42.277875,-83.7481763889,8c274996c3729ff
205,42.2775916667,-83.7459966667,8c274996c360bff
174,42.2728169444,-83.7494055556,8c274996c259dff
144,42.2864977778,-83.7326527778,8c2ab259346e1ff
50,42.2902855556,-83.7185211111,8c2ab25938ea7ff
49,42.2874927778,-83.71898,8c2ab2593169dff
198,42.2782186111,-83.74415527779999,8c274996ddb21ff
49,42.2872072222,-83.7191461111,8c2ab25931697ff
94,42.2469041667,-83.7614308333,8c274996948c7ff
117,42.2741755556,-83.7767338889,8c274996e3605ff
174,42.2727272222,-83.7498544444,8c274996c2587ff
160,42.2782258333,-83.7580858333,8c274996c7451ff
160,42.278206111100005,-83.7586069444,8c274996c7401ff
117,42.2740788889,-83.77651111109999,8c274996e3603ff
144,42.2865191667,-83.7323508333,8c2ab259346c7ff
144,42.2867911111,-83.7323902778,8c2ab25934613ff
189,42.2814447222,-83.7406111111,8c274996ca669ff
175,42.2833125,-83.7357233333,8c2ab25937807ff
36,42.257675,-83.7003627778,8c2ab25985863ff
115,42.2728402778,-83.7862458333,8c274996e2845ff
43,42.2565869444,-83.6961055556,8c2ab25985193ff
49,42.2873063889,-83.7191866667,8c2ab25931695ff
22,42.3028766667,-83.7042947222,8c2ab2590ac13ff
38,42.2729144444,-83.7989205556,8c274996e6985ff
205,42.2780747222,-83.7486777778,8c274996c30dbff
